Model,Best Hyperparameter,R2 Score,RMSE,MAE
Multiple Linear Regression,No Hyperparameter,0.14380701707715005,0.9251638346343681,0.6897364002595304
Polynomial Regression,degree = 3,0.27235184841447035,0.852890998151393,0.6262990598487933
Ridge Regression,alpha = 100,0.1438379005175665,0.9251471488518449,0.6896612137340203
Lasso Regression,alpha = 0.001,0.14388425750336975,0.9999298672953819,0.6936337948568997
Decision Tree Regression,max_depth = 7,0.2714580569860968,0.8534146528288715,0.6262015966606396
Random Forest Regression,n_estimators = 200,0.08717273021939664,0.9552721539131818,0.7153841721617739
